Program Name,Type,Specialty,City,State,Address,Phone,Insurance Accepted,Age Group,Beds/Weekly Sessions,Languages,Accreditation,Description
Sunrise Recovery Center,Inpatient,Substance Abuse,Los Angeles,CA,1200 Sunset Blvd Los Angeles CA 90028,(310) 555-0101,"Medicaid, Medicare, Blue Cross, Aetna",Adult,48 beds,"English, Spanish",CARF,"24/7 residential treatment for alcohol and drug dependency with medically supervised detox and dual diagnosis support."
Pacific Behavioral Hospital,Inpatient,Mental Health,San Diego,CA,800 Pacific Ave San Diego CA 92101,(619) 555-0202,"Medicare, Medi-Cal, Cigna, United",Adult,72 beds,"English, Spanish, Tagalog",Joint Commission,"Acute inpatient psychiatric care with individualized treatment plans for depression, bipolar disorder, and schizophrenia."
Harbor Wellness Center,Outpatient,Dual Diagnosis,San Francisco,CA,455 Market St San Francisco CA 94105,(415) 555-0303,"Medicaid, Blue Shield, Kaiser",Adult,"20 sessions/week","English, Spanish, Cantonese",CARF,"Intensive outpatient program combining mental health therapy and substance use treatment with peer support groups."
Desert Hope Treatment Center,Inpatient,Substance Abuse,Las Vegas,NV,3441 S Eastern Ave Las Vegas NV 89169,(702) 555-0404,"Medicaid, TRICARE, Humana, Aetna",Adult,112 beds,"English, Spanish",Joint Commission,"Comprehensive residential rehab offering medically assisted detox, individual counseling, and family therapy sessions."
Oasis Behavioral Health,Inpatient,Mental Health,Phoenix,AZ,750 N 19th Ave Phoenix AZ 85007,(602) 555-0505,"Medicare, Medicaid, Banner Health Plan",Adult & Adolescent,96 beds,"English, Spanish",Joint Commission,"Specialized inpatient psychiatric unit for adults and adolescents experiencing acute psychiatric crises."
Blue Mountain Recovery,Outpatient,Substance Abuse,Denver,CO,2100 Stout St Denver CO 80205,(303) 555-0606,"Medicaid, Colorado Access, Cigna",Adult,"15 sessions/week","English, Spanish",SAMHSA-Certified,"Outpatient substance abuse counseling with flexible scheduling to accommodate work and family obligations."
Gateway Community Services,Outpatient,Mental Health,Jacksonville,FL,555 Riverside Ave Jacksonville FL 32204,(904) 555-0707,"Medicaid, Florida Blue, Aetna",All Ages,"25 sessions/week","English, Spanish, Haitian Creole",CARF,"Full-spectrum outpatient behavioral health services including individual therapy, family counseling, and psychiatric evaluation."
Turning Point Recovery,Inpatient,Dual Diagnosis,Houston,TX,1500 Holcombe Blvd Houston TX 77030,(713) 555-0808,"Medicare, Medicaid, Blue Cross Blue Shield TX",Adult,60 beds,"English, Spanish",Joint Commission,"Long-term residential program addressing co-occurring mental health and substance use disorders with trauma-informed care."
New Beginnings Treatment,Outpatient,Substance Abuse,Dallas,TX,3900 Elm St Dallas TX 75226,(214) 555-0909,"Medicaid, CHIP, Ambetter",Adult & Adolescent,"18 sessions/week","English, Spanish",SAMHSA-Certified,"Outpatient addiction treatment including medication-assisted treatment (MAT) with buprenorphine and naltrexone."
Serenity House,Inpatient,Trauma,Nashville,TN,200 Rosa L Parks Blvd Nashville TN 37203,(615) 555-1010,"TennCare, BlueCross BlueShield TN, Humana",Adult,40 beds,English,CARF,"Gender-responsive residential trauma treatment for adult women with co-occurring PTSD and substance use disorders."
Riverside Psychiatric Institute,Inpatient,Mental Health,Columbia,SC,2900 Millwood Ave Columbia SC 29205,(803) 555-1111,"Medicare, Medicaid, Blue Choice, Cigna",Adult,88 beds,"English, Spanish",Joint Commission,"Private inpatient psychiatric hospital providing short-term stabilization and long-term residential mental health care."
Harmony Recovery Group,Outpatient,Substance Abuse,Charlotte,NC,1700 N Tryon St Charlotte NC 28206,(704) 555-1212,"Medicaid, Blue Cross NC, Aetna",Adult,"12 sessions/week","English, Spanish",SAMHSA-Certified,"Evidence-based outpatient addiction recovery services including group therapy, individual counseling, and relapse prevention."
Bridges to Recovery,Inpatient,Mental Health,Los Angeles,CA,9326 Civic Center Dr Beverly Hills CA 90210,(310) 555-1313,"Private Pay, Aetna, Cigna, Blue Cross",Adult,16 beds,"English, Spanish, Farsi, Russian",CARF,"Boutique residential mental health treatment for complex mood disorders, anxiety, and personality disorders."
