Discipline,Credentials,Education Required,Role in Inpatient Setting,Key Responsibilities,Setting Type,Licensure Body (CA)
Psychiatrist,MD / DO,Doctoral (Medical School) + Residency,Lead clinical team and oversee all medical treatment,"Diagnose mental illness, prescribe and manage medications, lead treatment team, perform psychiatric evaluations, authorize admissions and discharges",Acute & Long-Term,Medical Board of California
Psychologist,PhD / PsyD,Doctoral (Psychology),Conduct psychological testing and provide therapy,"Administer and interpret psychological assessments, provide individual and group therapy, consult on diagnosis, develop treatment plans",Acute & Long-Term,California Board of Psychology
Psychiatric Nurse Practitioner,NP / PMHNP,Master's or Doctoral (Nursing),Prescribe medications and provide psychiatric care,"Evaluate patients, prescribe and adjust psychiatric medications, provide brief therapy, collaborate with treatment team",Acute & Long-Term,California Board of Registered Nursing
Registered Nurse,RN,Bachelor's or Associate's (Nursing),"Provide 24/7 direct patient care, administer medications","Monitor patient safety and vital signs, administer medications, document clinical observations, respond to psychiatric emergencies",Acute & Long-Term,California Board of Registered Nursing
Licensed Vocational Nurse,LVN,Certificate or Associate's (Nursing),Assist with direct patient care and medication administration,"Administer medications under supervision, monitor patient status, document care, support RNs in clinical tasks",Acute & Long-Term,California Board of Vocational Nursing
Psychiatric Technician,Psych Tech,Associate's Degree or Certificate,Provide direct patient care and safety monitoring,"Supervise patients on milieu, de-escalate behavioral crises, document patient behavior, facilitate daily activities",Acute & Long-Term,California Department of Consumer Affairs
Licensed Clinical Social Worker,LCSW,Master's (Social Work),Provide therapy and coordinate discharge planning,"Conduct psychosocial assessments, provide individual and family therapy, develop discharge plans, connect patients to community resources",Acute & Long-Term,California Board of Behavioral Sciences
Marriage and Family Therapist,MFT / LMFT,Master's (Counseling or MFT),Provide individual and family therapy,"Facilitate family therapy sessions, provide individual therapy, support patients in processing relationships and trauma, run group therapy",Acute & Long-Term,California Board of Behavioral Sciences
Licensed Professional Clinical Counselor,LPCC,Master's (Counseling),Provide individual and group therapy,"Conduct individual counseling sessions, lead psychoeducation groups, support treatment planning, provide crisis intervention",Acute & Long-Term,California Board of Behavioral Sciences
Occupational Therapist,OT / OTR,Master's (Occupational Therapy),Restore daily functioning and life skills,"Assess functional abilities, teach coping and daily living skills, facilitate therapeutic activities, support transition to independence",Acute & Long-Term,California Board of Occupational Therapy
Recreational Therapist,CTRS,Bachelor's (Recreational Therapy),Use recreation and leisure to support recovery,"Plan and lead therapeutic recreation programs, improve social skills through structured activities, assess leisure interests and abilities",Acute & Long-Term,Certification Board for Recreational Therapists
Art Therapist,ATR / ATR-BC,Master's (Art Therapy),Use visual art as a therapeutic medium,"Facilitate art therapy sessions, help patients express emotions non-verbally, process trauma through creative work, assess through art",Acute & Long-Term,American Art Therapy Association
Music Therapist,MT-BC,Bachelor's or Master's (Music Therapy),Use music as a therapeutic intervention,"Design and lead music therapy sessions, use rhythm and sound to support emotional regulation, improve mood and engagement",Long-Term,Certification Board for Music Therapists
Certified Peer Specialist,CPS,High School + Certification,Provide lived-experience support and mentorship,"Share personal recovery experience, provide hope and motivation, assist with daily coping strategies, support transition to community",Acute & Long-Term,California Mental Health Services Authority
Case Manager,CM / CCM,Bachelor's or Master's (varies),Coordinate care across disciplines and plan discharge,"Coordinate services between providers, arrange post-discharge resources, verify insurance and benefits, connect patients to housing and support",Acute & Long-Term,Commission for Case Manager Certification
Neuropsychologist,PhD / PsyD (Neuropsychology),Doctoral + Specialty Training,Assess cognitive and brain-behavior functioning,"Administer neuropsychological tests, diagnose cognitive impairments, advise on treatment planning for patients with brain injuries or dementia",Long-Term,California Board of Psychology
Addiction Counselor,CADC / CATC,Certificate or Bachelor's,Address co-occurring substance use disorders,"Provide substance use counseling, facilitate 12-step and SMART Recovery groups, conduct substance use assessments, develop relapse prevention plans",Acute & Long-Term,California Association for Alcohol/Drug Educators
Chaplain / Spiritual Care Provider,BCC,Master's (Divinity or Theology),Support spiritual and existential wellbeing,"Provide spiritual care and emotional support, facilitate religious observances, support patients and families through crisis and grief",Acute & Long-Term,Association of Professional Chaplains
Dietitian / Nutritionist,RD / RDN,Bachelor's or Master's (Nutrition),Address nutritional needs linked to mental health,"Assess nutritional status, develop meal plans for patients with eating disorders or medication side effects, provide nutrition education",Acute & Long-Term,Commission on Dietetic Registration
Expressive Arts Therapist,REAT,Master's (Expressive Arts Therapy),Use multi-modal arts for healing,"Integrate drama, dance, movement, and visual arts into therapy, support non-verbal expression of trauma and emotion",Long-Term,International Expressive Arts Therapy Association
